time (seconds),accelerometer X (m/sec^2 highlighted),accelerometer Y (m/sec^2 highlighted),accelerometer Z (m/sec^2 highlighted)
0,0.43,-9.26,-5.06
0.016,0.54,-8.54,-5.5
0.033,-0.28,-8.56,-4.71
0.049,0.35,-8.5,-5.16
0.065,0.13,-7.43,-4.97
0.082,-0.36,-9.1,-5.1
0.098,-0.19,-9.2,-5.41
0.115,0.11,-8.21,-5
0.132,0.17,-8.89,-5.12
0.149,-0.05,-7.92,-4.98
0.165,0.04,-8.87,-5.24
0.181,0.23,-8.37,-5.68
0.198,0.24,-7.71,-5.08
0.216,0.21,-9.1,-4.9
0.231,-0.35,-7.51,-4.92
0.249,-0.92,-8.54,-4.91
0.265,-0.39,-8.77,-5.81
0.283,-0.57,-8.32,-5.03
0.298,-0.46,-9.02,-5.11
0.315,-0.01,-7.36,-5.3
0.331,-0.79,-8.76,-5.41
0.348,-0.8,-9.18,-5.74
0.365,-0.65,-7.99,-5
0.382,-0.44,-8.9,-5.28
0.398,-0.91,-8.38,-5.14
0.415,-0.51,-8.61,-5.16
0.431,-0.41,-8.54,-5.92
0.448,-0.36,-7.5,-5.63
0.464,0.22,-8.83,-5.64
0.482,-0.49,-8.05,-5.05
0.498,-0.92,-8.2,-5.05
0.516,-0.2,-8.62,-5.69
0.531,-0.58,-8.02,-5.02
0.55,-0.71,-8.65,-5.2
0.563,-0.16,-8.29,-4.91
0.58,-0.67,-8.75,-4.73
0.597,-0.38,-8.44,-5.26
0.614,-0.03,-7.76,-5.54
0.631,-0.04,-8.78,-5.69
0.648,0.05,-8.62,-4.47
0.665,0.11,-8.41,-4.38
0.681,-0.49,-8.86,-5.63
0.698,-0.58,-7.88,-5.66
0.714,0.53,-9.07,-4.92
0.731,-1.37,-8.08,-4.85
0.748,0.19,-7.8,-4.18
0.764,-0.46,-9.06,-5.11
0.781,0.23,-7.55,-5.03
0.798,0.54,-9.12,-4.5
0.815,-1.44,-8.63,-5.18
0.831,0.4,-8.67,-4.33
0.848,0.11,-9.16,-4.88
0.865,-0.74,-8.15,-5.51
0.881,0.67,-9.19,-4.63
0.898,-0.43,-8.84,-4.99
0.914,0.61,-7.41,-4.28
0.931,-0.21,-9.12,-4.9
0.948,-1,-8.77,-5.54
0.965,0.44,-8.85,-4.34
0.981,-1.44,-8.81,-4.84
0.998,-0.54,-8.07,-4.52
1.013,-0.31,-8.93,-4.56
1.031,-0.64,-8.35,-5.59
1.048,0.99,-7.55,-4.57
1.064,-0.46,-8.98,-4.91
1.081,0.34,-7.44,-4.56
1.097,0.38,-8.88,-4.69
1.114,-1.29,-9.26,-5.86
1.13,0.85,-8.49,-4.2
1.147,-0.4,-9.24,-4.55
1.165,-0.73,-7.91,-5.06
1.181,0.81,-7.8,-4.18
1.197,-0.73,-9.27,-5.23
1.215,0.55,-7.4,-4.3
1.231,0.61,-9.45,-3.81
1.247,-1.11,-8.58,-4.76
1.264,0.6,-8.8,-4.15
1.281,-0.1,-9.2,-5
1.297,-0.28,-7.87,-5.46
1.314,0.33,-9.69,-4.87
1.331,-0.27,-8.49,-5.57
1.347,0.56,-7.7,-4.32
1.364,-0.03,-8.82,-5.55
1.381,-0.98,-8.91,-5.82
1.397,0.53,-8.95,-4.75
1.414,-1.27,-8.46,-5.4
1.43,-0.08,-7.69,-4.7
1.447,-0.36,-8.97,-5.17
1.464,-0.68,-7.96,-5.64
1.482,0.6,-7.91,-4.64
1.497,-0.92,-8.4,-5.25
1.514,0.52,-7.7,-4.33
1.531,0.06,-9.3,-4.63
1.548,-1.12,-8.52,-5.81
1.564,0.34,-8.94,-4.6
1.58,-0.37,-9.17,-5.14
1.597,-0.1,-7.6,-4.6
1.614,-0.1,-8.88,-5.07
1.63,-0.79,-8.56,-5.7
1.647,0.77,-8.06,-4.92
1.664,-0.56,-8.47,-5.46
1.68,-1.05,-8.06,-5.37
1.698,0.31,-8.78,-5.03
1.713,-1.14,-8.1,-5.72
1.73,0.51,-7.48,-4.78
1.747,-0.7,-8.5,-4.53
1.764,0.26,-7.53,-4.66
1.78,0.5,-8.67,-4.59
1.797,-1,-8.83,-5.76
1.814,0.87,-8.48,-4.92
1.83,0.34,-8.65,-4.94
1.847,-0.7,-7.96,-4.82
1.863,0.83,-8.31,-4.27
1.88,-0.87,-8.85,-4.92
1.897,0.45,-8.48,-5.01
1.913,0.25,-8.92,-5.15
1.93,-1.02,-9.01,-5.21
1.947,0.66,-9.08,-4.65
1.964,-0.61,-9.38,-5.43
1.98,-0.18,-8.4,-5.48
1.997,0.65,-9.36,-4.87
2.013,-0.75,-8.61,-4.77
2.03,0.9,-8.45,-4.16
2.047,-0.22,-9.23,-4.96
2.063,0.48,-8.12,-4.69
2.08,0.87,-9.61,-4.44
2.097,-1.28,-8.73,-5.05
2.114,0.02,-7.93,-4.44
2.13,0.36,-8.97,-4.52
2.147,-0.16,-7.91,-5
2.163,1,-8.9,-4.12
2.18,-0.86,-8.53,-4.79
2.197,1.2,-8.33,-4.03
2.213,0.97,-8.93,-4.55
2.23,-0.74,-8.56,-5.6
2.247,1.09,-9.36,-4.34
2.263,0.21,-8.83,-4.61
2.281,0.63,-7.91,-4.2
